,,OPCODE,isMOD,modSWAP,isDouble,OPCext,aluk,MUX_ADDER_IMM,MUX_AND_INT,MUX_SHIFT,P_OP,FMASK,conditionals,swapEIP,isBR,isFP,isImm,immSize,size,R1,R2,R3,R4,S1,S2,S3,S4,op1_mux,op2_mux,op3_mux,op4_mux,dest1_mux,dest2_mux,dest3_mux,dest4_mux,op1_wb,op2_wb,op3_wb,op4_wb,R1_MOD_OVR,M1_RW,M2_RW,OP_MOD_OVR,S3_MOD_OVR,memSizeOVR,is_EXT,MOD_EXT
ï»¿0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
04 ib,"ADD AL, imm8",8'h04,1'b0,1'b0,1'b0,8'h00,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_1_0_00_1_1_1_1_1,2'b00,1'b0,1'b0,1'b0,1'b1,2'b00,2'b00,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h1000,13'h0001,13'h0001,13'h0001,13'h1000,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
05 id,"ADD EAX, imm32",8'h05,1'b0,1'b0,1'b0,8'h00,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_1_0_00_1_1_1_1_1,2'b00,1'b0,1'b0,1'b0,1'b1,2'b10,2'b10,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h1000,13'h0001,13'h0001,13'h0001,13'h1000,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
80 /0 ib ?,"ADD r/m8, imm8",8'h80,1'b1,1'b0,1'b0,8'h00,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_1_0_00_1_1_1_1_1,2'b00,1'b0,1'b0,1'b0,1'b1,2'b00,2'b00,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h1000,13'h0001,13'h0001,13'h0100,13'h1000,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b11,2'b00,2'b01,1'b0,1'b0,1'b1,3'd0
81 /0 id ?,"ADD r/m32, imm32",8'h81,1'b1,1'b0,1'b0,8'h00,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_1_0_00_1_1_1_1_1,2'b00,1'b0,1'b0,1'b0,1'b1,2'b10,2'b10,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h1000,13'h0001,13'h0001,13'h0100,13'h1000,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b11,2'b00,2'b01,1'b0,1'b0,1'b1,3'd0
83 /0 ib ?,"ADD r/m32, imm8",8'h83,1'b1,1'b0,1'b0,8'h00,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_1_0_00_1_1_1_1_1,2'b00,1'b0,1'b0,1'b0,1'b1,2'b00,2'b10,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h1000,13'h0001,13'h0001,13'h0100,13'h1000,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b11,2'b00,2'b01,1'b0,1'b0,1'b1,3'd0
00 /r,"ADD r/m8, r8",8'h00,1'b1,1'b0,1'b0,8'h00,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_1_0_00_1_1_1_1_1,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b1,2'b11,2'b00,2'b01,1'b0,1'b0,3'd0,3'd0
01 /r,"ADD r/m32, r32",8'h01,1'b1,1'b0,1'b0,8'h00,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_1_0_00_1_1_1_1_1,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b1,2'b11,2'b00,2'b01,1'b0,1'b0,3'd0,3'd0
02 /r,"ADD r8, r/m8",8'h02,1'b1,1'b1,1'b0,8'h00,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_1_0_00_1_1_1_1_1,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b1,2'b10,2'b00,2'b10,1'b0,1'b0,3'd0,3'd0
03 /r,"ADD r32, r/m32",8'h03,1'b1,1'b1,1'b0,8'h00,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_1_0_00_1_1_1_1_1,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b1,2'b10,2'b00,2'b10,1'b0,1'b0,3'd0,3'd0
24 ib,"AND AL, imm8",8'h24,1'b0,1'b0,1'b0,8'h00,5'b00000,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0010,18'b000000000_1_0_00_1_1_0_1_1,2'b00,1'b0,1'b0,1'b0,1'b1,2'b00,2'b00,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h1000,13'h0001,13'h0001,13'h0001,13'h1000,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
25 id,"AND EAX, imm32",8'h25,1'b0,1'b0,1'b0,8'h00,5'b00000,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0010,18'b000000000_1_0_00_1_1_0_1_1,2'b00,1'b0,1'b0,1'b0,1'b1,2'b10,2'b10,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h1000,13'h0001,13'h0001,13'h0001,13'h1000,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
80 /4 ib ?,"AND r/m8, imm8",8'h80,1'b1,1'b0,1'b0,8'h00,5'b00000,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0010,18'b000000000_1_0_00_1_1_0_1_1,2'b00,1'b0,1'b0,1'b0,1'b1,2'b00,2'b00,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h1000,13'h0001,13'h0001,13'h0100,13'h1000,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b11,2'b00,2'b01,1'b0,1'b0,1'b1,3'd4
81 /4 id ?,"AND r/m32, imm32",8'h81,1'b1,1'b0,1'b0,8'h00,5'b00000,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0010,18'b000000000_1_0_00_1_1_0_1_1,2'b00,1'b0,1'b0,1'b0,1'b1,2'b10,2'b10,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h1000,13'h0001,13'h0001,13'h0100,13'h1000,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b11,2'b00,2'b01,1'b0,1'b0,1'b1,3'd4
83 /4 ib ?,"AND r/m32, imm8",8'h83,1'b1,1'b0,1'b0,8'h00,5'b00000,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0010,18'b000000000_1_0_00_1_1_0_1_1,2'b00,1'b0,1'b0,1'b0,1'b1,2'b00,2'b10,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h1000,13'h0001,13'h0001,13'h0100,13'h1000,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b11,2'b00,2'b01,1'b0,1'b0,1'b1,3'd4
20 /r,"AND r/m8, r8",8'h20,1'b1,1'b0,1'b0,8'h00,5'b00000,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0010,18'b000000000_1_0_00_1_1_0_1_1,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b1,2'b11,2'b00,2'b01,1'b0,1'b0,3'd0,3'd0
21 /r,"AND r/m32, r32",8'h21,1'b1,1'b0,1'b0,8'h00,5'b00000,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0010,18'b000000000_1_0_00_1_1_0_1_1,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b1,2'b11,2'b00,2'b01,1'b0,1'b0,3'd0,3'd0
22 /r,"AND r8, r/m8",8'h22,1'b1,1'b1,1'b0,8'h00,5'b00000,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0010,18'b000000000_1_0_00_1_1_0_1_1,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b1,2'b10,2'b00,2'b10,1'b0,1'b0,3'd0,3'd0
23 /r,"AND r32, r/m32",8'h23,1'b1,1'b1,1'b0,8'h00,5'b00000,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0010,18'b000000000_1_0_00_1_1_0_1_1,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b1,2'b10,2'b00,2'b10,1'b0,1'b0,3'd0,3'd0
0F BC,"BSF r32, r/m32",8'h0F,1'b1,1'b1,1'b1,8'hBC,5'b00010,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0100,18'b000000000_0_0_00_1_1_1_1_1,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b1,2'b10,2'b00,2'b10,1'b0,1'b0,3'd0,3'd0
E8 cd,CALL rel32,8'hE8,1'b0,1'b0,1'b0,8'h00,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_1000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b1,1'b0,1'b1,2'b10,2'b10,3'b000,3'b111,3'b100,3'b000,3'b010,3'b000,3'b000,3'b000,13'h0400,13'h1000,13'h0400,13'h0002,13'h0400,13'h0001,13'h0100,13'h0002,1'b1,1'b0,1'b1,1'b1,1'b0,2'b01,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
FF /2 ?,CALL r/m32,8'hFF,1'b1,1'b0,1'b0,8'h00,5'b00100,3'b000,1'b0,1'b0,37'b0_0100_0000_0000_0000_0000_0000_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b1,1'b0,1'b0,2'b00,2'b10,3'b000,3'b000,3'b100,3'b111,3'b001,3'b010,3'b000,3'b000,13'h0100,13'h0001,13'h0400,13'h0008,13'h0400,13'h0001,13'h0200,13'h0008,1'b1,1'b0,1'b1,1'b1,1'b0,2'b10,2'b01,2'b01,1'b0,1'b0,1'b1,3'd2
9A cp,CALL ptr16:32,8'h9A,1'b0,1'b0,1'b0,8'h00,5'b00100,3'b000,1'b0,1'b0,37'b0_1000_0000_0000_0000_0000_0000_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b1,1'b0,1'b0,2'b00,2'b10,3'b000,3'b111,3'b100,3'b000,3'b010,3'b000,3'b000,3'b000,13'h1000,13'h1000,13'h0800,13'h0010,13'h0001,13'h0001,13'h0100,13'h0010,1'b0,1'b0,1'b1,1'b1,1'b0,2'b01,2'b00,2'b00,1'b0,1'b1,3'd0,3'd0
FC,CLD,8'hFC,1'b0,1'b0,1'b0,8'h00,5'b00101,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0001_0000,18'b000000000_0_1_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,1'b0,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
0F 42 /r,"CMOVC r32, r/m32",8'h0F,1'b1,1'b1,1'b1,8'h42,5'b00011,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0100_0000,18'b000000000__0_00_0_0_0_0_0,2'b01,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b1,2'b10,2'b00,2'b10,1'b0,1'b0,3'd0,3'd0
0F B0 /r,"CMPXCHG r/m8, r8",8'h0F,1'b1,1'b0,1'b1,8'hB0,5'b00111,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_1000_0000,18'b000000000_1_0_00_1_1_1_1_1,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0008,13'h0001,13'h0100,13'h0001,13'h0008,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b1,2'b11,2'b00,2'b01,1'b0,1'b0,3'd0,3'd0
0F B1 /r,"CMPXCHG r/m32, r32",8'h0F,1'b1,1'b0,1'b1,8'hB1,5'b00111,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_1000_0000,18'b000000000_1_0_00_1_1_1_1_1,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0008,13'h0001,13'h0100,13'h0001,13'h0008,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b1,2'b11,2'b00,2'b01,1'b0,1'b0,3'd0,3'd0
27,DAA,8'h27,1'b0,1'b0,1'b0,8'h00,5'b01000,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0001_0000_0000,18'b000000000_0_0_00_1_1_1_1_1,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
F4,HLT,8'hF4,1'b0,1'b0,1'b0,8'h00,5'b00100,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0010_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b000,3'b000,3'b000,3'b000,3'b000,3'b000,3'b000,3'b000,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,1'b0,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
CF,IREtd,8'hCF,1'b0,1'b0,1'b0,8'h00,5'b00100,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0100_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b000,3'b000,3'b000,3'b000,3'b000,3'b000,3'b000,3'b000,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,1'b0,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
77 cb,JNBE rel8,8'h77,1'b0,1'b0,1'b0,8'h00,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_1000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b11,1'b0,1'b1,1'b0,1'b1,2'b00,2'b00,3'b000,3'b111,3'b100,3'b000,3'b010,3'b000,3'b000,3'b000,13'h0400,13'h1000,13'h0001,13'h0001,13'h0400,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
75 cb,JNE rel8,8'h75,1'b0,1'b0,1'b0,8'h00,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_1000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b10,1'b0,1'b1,1'b0,1'b1,2'b00,2'b00,3'b000,3'b111,3'b100,3'b000,3'b010,3'b000,3'b000,3'b000,13'h0400,13'h1000,13'h0001,13'h0001,13'h0400,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
0F 87 cd,JNBE rel32,8'h0F,1'b0,1'b0,1'b1,8'h87,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_1000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b11,1'b0,1'b1,1'b0,1'b1,2'b10,2'b10,3'b000,3'b111,3'b100,3'b000,3'b010,3'b000,3'b000,3'b000,13'h0400,13'h1000,13'h0001,13'h0001,13'h0400,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
0F 85 cd,JNE rel32,8'h0F,1'b0,1'b0,1'b1,8'h85,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_1000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b10,1'b0,1'b1,1'b0,1'b1,2'b10,2'b10,3'b000,3'b111,3'b100,3'b000,3'b010,3'b000,3'b000,3'b000,13'h0400,13'h1000,13'h0001,13'h0001,13'h0400,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
