,,OPCODE,isMOD,modSWAP,isDouble,OPCext,aluk,MUX_ADDER_IMM,MUX_AND_INT,MUX_SHIFT,P_OP,FMASK,conditionals,swapEIP,isBR,isFP,isImm,immSize,size,R1,R2,R3,R4,S1,S2,S3,S4,op1_mux,op2_mux,op3_mux,op4_mux,dest1_mux,dest2_mux,dest3_mux,dest4_mux,op1_wb,op2_wb,op3_wb,op4_wb,R1_MOD_OVR,M1_RW,M2_RW,OP_MOD_OVR,S3_MOD_OVR,memSizeOVR,is_EXT,MOD_EXT
EB cb,JMP rel8,8'hEB,1'b0,1'b0,1'b0,8'h00,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_1000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b1,1'b0,1'b1,2'b00,2'b00,3'b000,3'b111,3'b100,3'b000,3'b010,3'b000,3'b000,3'b000,13'h0400,13'h1000,13'h0001,13'h0001,13'h0400,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
E9 cd,JMP rel32,8'hE9,1'b0,1'b0,1'b0,8'h00,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_1000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b1,1'b0,1'b1,2'b10,2'b10,3'b000,3'b111,3'b100,3'b000,3'b010,3'b000,3'b000,3'b000,13'h0400,13'h1000,13'h0001,13'h0001,13'h0400,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
FF /4 ?,JMP r/m32,8'hFF,1'b1,1'b0,1'b0,8'h00,5'b00100,3'b000,1'b0,1'b0,37'b0_0100_0000_0000_0000_0000_0000_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b1,1'b0,1'b0,2'b00,2'b10,3'b000,3'b000,3'b100,3'b111,3'b001,3'b010,3'b000,3'b000,13'h0100,13'h0001,13'h0400,13'h0008,13'h0400,13'h0001,13'h0200,13'h0008,1'b1,1'b0,1'b1,1'b1,1'b0,2'b10,2'b01,2'b01,1'b0,1'b0,1'b1,3'd4
EA cp,JMP ptr16:32,8'hEA,1'b0,1'b0,1'b0,8'h00,5'b00100,3'b000,1'b0,1'b0,37'b0_0001_0000_0000_0000_0000_0000_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b1,1'b0,1'b0,2'b00,2'b10,3'b000,3'b111,3'b100,3'b000,3'b010,3'b000,3'b000,3'b000,13'h1000,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,1'b0,1'b0,1'b0,1'b0,1'b0,2'b01,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
88 /r,"MOV r/m8, r8",8'h88,1'b1,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0010_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b1,2'b11,2'b00,2'b01,1'b0,1'b0,3'd0,3'd0
89 /r,"MOV r/m32, r32",8'h89,1'b1,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0010_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b1,2'b11,2'b00,2'b01,1'b0,1'b0,3'd0,3'd0
8A /r,"MOV r8, r/m8",8'h8A,1'b1,1'b1,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0010_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b1,2'b10,2'b00,2'b10,1'b0,1'b0,3'd0,3'd0
8B /r,"MOV r32, r/m32",8'h8B,1'b1,1'b1,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0010_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b1,2'b10,2'b00,2'b10,1'b0,1'b0,3'd0,3'd0
8C /r,"MOV r/m16, Sreg",8'h8C,1'b1,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0010_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0040,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b11,2'b00,2'b01,1'b1,1'b0,3'd0,3'd0
8E /r,"MOV Sreg, r/m16",8'h8E,1'b1,1'b1,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0010_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0040,13'h0100,13'h0001,13'h0001,13'h0040,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b10,2'b00,2'b10,1'b1,1'b0,3'd0,3'd0
B0+ rb,"MOV r8, imm8",8'hB0,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0010_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b1,2'b00,2'b00,3'd0,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h1000,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
B0+ rb,"MOV r8, imm8",8'hB1,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0010_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b1,2'b00,2'b00,3'd1,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h1000,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
B0+ rb,"MOV r8, imm8",8'hB2,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0010_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b1,2'b00,2'b00,3'd2,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h1000,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
B0+ rb,"MOV r8, imm8",8'hB3,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0010_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b1,2'b00,2'b00,3'd3,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h1000,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
B0+ rb,"MOV r8, imm8",8'hB4,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0010_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b1,2'b00,2'b00,3'd4,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h1000,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
B0+ rb,"MOV r8, imm8",8'hB5,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0010_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b1,2'b00,2'b00,3'd5,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h1000,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
B0+ rb,"MOV r8, imm8",8'hB6,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0010_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b1,2'b00,2'b00,3'd6,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h1000,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
B0+ rb,"MOV r8, imm8",8'hB7,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0010_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b1,2'b00,2'b00,3'd7,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h1000,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
B8+ rd,"MOV r32, imm32",8'hB8,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0010_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b1,2'b10,2'b10,3'd0,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h1000,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
B8+ rd,"MOV r32, imm32",8'hB9,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0010_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b1,2'b10,2'b10,3'd1,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h1000,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
B8+ rd,"MOV r32, imm32",8'hBA,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0010_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b1,2'b10,2'b10,3'd2,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h1000,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
B8+ rd,"MOV r32, imm32",8'hBB,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0010_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b1,2'b10,2'b10,3'd3,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h1000,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
B8+ rd,"MOV r32, imm32",8'hBC,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0010_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b1,2'b10,2'b10,3'd4,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h1000,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
B8+ rd,"MOV r32, imm32",8'hBD,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0010_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b1,2'b10,2'b10,3'd5,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h1000,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
B8+ rd,"MOV r32, imm32",8'hBE,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0010_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b1,2'b10,2'b10,3'd6,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h1000,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
B8+ rd,"MOV r32, imm32",8'hBF,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0010_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b1,2'b10,2'b10,3'd7,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h1000,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
C6 /0,"MOV r/m8, imm8",8'hC6,1'b1,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0010_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b1,2'b00,2'b00,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h1000,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b11,2'b00,2'b01,1'b0,1'b0,3'd0,3'd0
C7 /0,"MOV r/m32, imm32",8'hC7,1'b1,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0010_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b1,2'b10,2'b10,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h1000,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b11,2'b00,2'b01,1'b0,1'b0,3'd0,3'd0
0F 6F /r,"MOVQ mm, mm/m64",8'h0F,1'b1,1'b1,1'b1,8'h6F,5'b00011,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0100_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b11,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b1,2'b10,2'b00,2'b10,1'b0,1'b0,3'd0,3'd0
0F 7F /r,"MOVQ mm/m64, mm",8'h0F,1'b1,1'b0,1'b1,8'h7F,5'b00011,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0100_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b11,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b1,2'b11,2'b00,2'b01,1'b0,1'b0,3'd0,3'd0
A4,"MOVS m8, m8",8'hA4,1'b0,1'b0,1'b0,8'h00,5'b00100,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_1000_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b000,3'b101,3'b010,3'b110,3'b001,3'b011,3'b000,3'b000,13'h0100,13'h0002,13'h0008,13'h0004,13'h0200,13'h0002,13'h0008,13'h0004,1'b1,1'b1,1'b1,1'b0,1'b0,2'b10,2'b01,2'b00,1'b0,1'b0,3'd0,3'd0
A5,"MOVS m32, m32",8'hA5,1'b0,1'b0,1'b0,8'h00,5'b00100,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_1000_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'b000,3'b101,3'b010,3'b110,3'b001,3'b011,3'b000,3'b000,13'h0100,13'h0002,13'h0008,13'h0004,13'h0200,13'h0002,13'h0008,13'h0004,1'b1,1'b1,1'b1,1'b0,1'b0,2'b10,2'b01,2'b00,1'b0,1'b0,3'd0,3'd0
F6 /2,NOT r/m8,8'hF6,1'b1,1'b0,1'b0,8'h00,5'b01001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0001_0000_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b11,2'b00,2'b01,1'b0,1'b0,3'd0,3'd0
F7 /2,NOT r/m32,8'hF7,1'b1,1'b0,1'b0,8'h00,5'b01001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0001_0000_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b11,2'b00,2'b01,1'b0,1'b0,3'd0,3'd0
0C ib,"OR AL, imm8",8'h0C,1'b0,1'b0,1'b0,8'h00,5'b01010,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0010_0000_0000_0000_0000,18'b000000000_1_0_00_1_1_0_1_1,2'b00,1'b0,1'b0,1'b0,1'b1,2'b00,2'b00,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h1000,13'h0001,13'h0001,13'h0001,13'h1000,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
