,,OPCODE,isMOD,modSWAP,isDouble,OPCext,aluk,MUX_ADDER_IMM,MUX_AND_INT,MUX_SHIFT,P_OP,FMASK,conditionals,swapEIP,isBR,isFP,isImm,immSize,size,R1,R2,R3,R4,S1,S2,S3,S4,op1_mux,op2_mux,op3_mux,op4_mux,dest1_mux,dest2_mux,dest3_mux,dest4_mux,op1_wb,op2_wb,op3_wb,op4_wb,R1_MOD_OVR,M1_RW,M2_RW,OP_MOD_OVR,S3_MOD_OVR,memSizeOVR,is_EXT,MOD_EXT
50+ rd,PUSH r32,8'h57,1'b0,1'b0,1'b0,8'h00,5'b00100,3'b000,1'b0,1'b0,37'b0_0000_0000_0100_0000_0000_0000_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'd7,3'b000,3'b100,3'b111,3'b001,3'b010,3'b101,3'b000,13'h0001,13'h0001,13'h0001,13'h0008,13'h0200,13'h0001,13'h0001,13'h0008,1'b1,1'b0,1'b0,1'b1,1'b0,2'b00,2'b01,2'b00,1'b0,1'b0,3'd0,3'd0
6A,PUSH imm8,8'h6A,1'b0,1'b0,1'b0,8'h00,5'b00100,3'b000,1'b0,1'b0,37'b0_0000_0000_0100_0000_0000_0000_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b1,2'b00,2'b00,3'b000,3'b000,3'b100,3'b111,3'b001,3'b010,3'b101,3'b000,13'h1000,13'h0001,13'h0001,13'h0008,13'h0200,13'h0001,13'h0001,13'h0008,1'b1,1'b0,1'b0,1'b1,1'b0,2'b00,2'b01,2'b00,1'b0,1'b0,3'd0,3'd0
68,PUSH imm32,8'h68,1'b0,1'b0,1'b0,8'h00,5'b00100,3'b000,1'b0,1'b0,37'b0_0000_0000_0100_0000_0000_0000_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b1,2'b10,2'b10,3'b000,3'b000,3'b100,3'b111,3'b001,3'b010,3'b101,3'b000,13'h1000,13'h0001,13'h0001,13'h0008,13'h0200,13'h0001,13'h0001,13'h0008,1'b1,1'b0,1'b0,1'b1,1'b0,2'b00,2'b01,2'b00,1'b0,1'b0,3'd0,3'd0
0E,PUSH CS,8'h0E,1'b0,1'b0,1'b0,8'h00,5'b00100,3'b000,1'b0,1'b0,37'b0_0000_0000_0100_0000_0000_0000_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b000,3'b000,3'b100,3'b111,3'b000,3'b010,3'b101,3'b000,13'h0010,13'h0001,13'h0001,13'h0008,13'h0200,13'h0001,13'h0001,13'h0008,1'b1,1'b0,1'b0,1'b1,1'b0,2'b00,2'b01,2'b00,1'b0,1'b0,3'd0,3'd0
16,PUSH SS,8'h16,1'b0,1'b0,1'b0,8'h00,5'b00100,3'b000,1'b0,1'b0,37'b0_0000_0000_0100_0000_0000_0000_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b000,3'b000,3'b100,3'b111,3'b010,3'b010,3'b010,3'b000,13'h0010,13'h0001,13'h0001,13'h0008,13'h0200,13'h0001,13'h0001,13'h0008,1'b1,1'b0,1'b0,1'b1,1'b0,2'b00,2'b01,2'b00,1'b0,1'b0,3'd0,3'd0
1E,PUSH DS,8'h1E,1'b0,1'b0,1'b0,8'h00,5'b00100,3'b000,1'b0,1'b0,37'b0_0000_0000_0100_0000_0000_0000_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b000,3'b000,3'b100,3'b111,3'b001,3'b010,3'b001,3'b000,13'h0010,13'h0001,13'h0001,13'h0008,13'h0200,13'h0001,13'h0001,13'h0008,1'b1,1'b0,1'b0,1'b1,1'b0,2'b00,2'b01,2'b00,1'b0,1'b0,3'd0,3'd0
6,PUSH ES,8'h6,1'b0,1'b0,1'b0,8'h00,5'b00100,3'b000,1'b0,1'b0,37'b0_0000_0000_0100_0000_0000_0000_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b000,3'b000,3'b100,3'b111,3'b011,3'b010,3'b011,3'b000,13'h0010,13'h0001,13'h0001,13'h0008,13'h0200,13'h0001,13'h0001,13'h0008,1'b1,1'b0,1'b0,1'b1,1'b0,2'b00,2'b01,2'b00,1'b0,1'b0,3'd0,3'd0
0F A0,PUSH FS,8'h0F,1'b0,1'b0,1'b1,8'hA0,5'b00100,3'b000,1'b0,1'b0,37'b0_0000_0000_0100_0000_0000_0000_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b000,3'b000,3'b100,3'b111,3'b100,3'b010,3'b100,3'b000,13'h0010,13'h0001,13'h0001,13'h0008,13'h0200,13'h0001,13'h0001,13'h0008,1'b1,1'b0,1'b0,1'b1,1'b0,2'b00,2'b01,2'b00,1'b0,1'b0,3'd0,3'd0
0F A8,PUSH GS,8'h0F,1'b0,1'b0,1'b1,8'hA8,5'b00100,3'b000,1'b0,1'b0,37'b0_0000_0000_0100_0000_0000_0000_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b000,3'b000,3'b100,3'b111,3'b101,3'b010,3'b101,3'b000,13'h0010,13'h0001,13'h0001,13'h0008,13'h0200,13'h0001,13'h0001,13'h0008,1'b1,1'b0,1'b0,1'b1,1'b0,2'b00,2'b01,2'b00,1'b0,1'b0,3'd0,3'd0
C3,RET,8'hC3,1'b0,1'b0,1'b0,8'h00,5'b00100,3'b000,1'b0,1'b0,37'b0_0000_0001_0000_0000_0000_0000_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b1,1'b0,1'b0,2'b00,2'b00,3'b000,3'b000,3'b100,3'b111,3'b001,3'b010,13'h0001,3'b000,13'h0200,13'h1000,13'h0001,13'h0008,13'h0400,13'h0001,13'h0001,13'h0008,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,2'b00,1'b0,1'b0,3'd0,3'd0
CB,RET,8'hCB,1'b0,1'b0,1'b0,8'h00,5'b00100,3'b000,1'b0,1'b0,37'b1_0000_0000_0000_0000_0000_0000_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b1,1'b0,1'b0,2'b00,2'b00,3'b000,3'b000,3'b100,3'b111,3'b001,3'b010,13'h0001,3'b000,13'h0200,13'h1000,13'h0001,13'h0008,13'h0800,13'h0001,13'h0001,13'h0008,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,2'b00,1'b0,1'b1,3'd0,3'd0
C2 iw,RET imm16,8'hC2,1'b0,1'b0,1'b0,8'h00,5'b00100,3'b000,1'b0,1'b0,37'b0_0000_0001_0000_0000_0000_0000_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b1,1'b0,1'b1,2'b01,2'b00,3'b000,3'b000,3'b100,3'b111,3'b001,3'b010,13'h0001,3'b000,13'h0200,13'h1000,13'h0001,13'h0008,13'h0400,13'h0001,13'h0001,13'h0008,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,2'b00,1'b0,1'b0,3'd0,3'd0
CA iw,RET imm16,8'hCA,1'b0,1'b0,1'b0,8'h00,5'b00100,3'b000,1'b0,1'b0,37'b1_0000_0000_0000_0000_0000_0000_0000_0000_0000,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b1,1'b0,1'b1,2'b01,2'b00,3'b000,3'b000,3'b100,3'b111,3'b001,3'b010,13'h0001,3'b000,13'h0200,13'h1000,13'h0001,13'h0008,13'h0800,13'h0001,13'h0001,13'h0008,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,2'b00,1'b0,1'b1,3'd0,3'd0
D0 /4 ?,"SAL r/m8, 1",8'hD0,1'b1,1'b0,1'b0,8'h00,5'b10010,3'b000,1'b0,1'b1,37'b0_0000_0010_0000_0000_0000_0000_0000_0000_0000,18'b000000000_1_0_00_1_1_0_1_1,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b010,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b11,2'b00,2'b01,1'b0,1'b0,1'b1,3'd4
D2 /4 ?,"SAL r/m8, CL",8'hD2,1'b1,1'b0,1'b0,8'h00,5'b10010,3'b000,1'b0,1'b0,37'b0_0000_0010_0000_0000_0000_0000_0000_0000_0000,18'b000000000_1_0_00_1_1_0_1_1,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b010,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b11,2'b00,2'b01,1'b0,1'b0,1'b1,3'd4
C0 /4 ib,"SAL r/m8, imm8",8'hC0,1'b1,1'b0,1'b0,8'h00,5'b10010,3'b000,1'b0,1'b0,37'b0_0000_0010_0000_0000_0000_0000_0000_0000_0000,18'b000000000_1_0_00_1_1_0_1_1,2'b00,1'b0,1'b0,1'b0,1'b1,2'b00,2'b00,3'b010,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b11,2'b00,2'b01,1'b0,1'b0,3'd0,3'd0
D1 /4 ?,"SAL r/m32, 1",8'hD1,1'b1,1'b0,1'b0,8'h00,5'b10010,3'b000,1'b0,1'b1,37'b0_0000_0010_0000_0000_0000_0000_0000_0000_0000,18'b000000000_1_0_00_1_1_0_1_1,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'b010,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b11,2'b00,2'b01,1'b0,1'b0,1'b1,3'd4
D3 /4 ?,"SAL r/m32, CL",8'hD3,1'b1,1'b0,1'b0,8'h00,5'b10010,3'b000,1'b0,1'b0,37'b0_0000_0010_0000_0000_0000_0000_0000_0000_0000,18'b000000000_1_0_00_1_1_0_1_1,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'b010,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b11,2'b00,2'b01,1'b0,1'b0,1'b1,3'd4
C1 /4 ib ?,"SAL r/m32, imm8",8'hC1,1'b1,1'b0,1'b0,8'h00,5'b10010,3'b000,1'b0,1'b0,37'b0_0000_0010_0000_0000_0000_0000_0000_0000_0000,18'b000000000_1_0_00_1_1_0_1_1,2'b00,1'b0,1'b0,1'b0,1'b1,2'b00,2'b10,3'b010,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b11,2'b00,2'b01,1'b0,1'b0,1'b1,3'd4
D0 /7 ?,"SAR r/m8, 1",8'hD0,1'b1,1'b0,1'b0,8'h00,5'b10001,3'b000,1'b0,1'b1,37'b0_0000_0100_0000_0000_0000_0000_0000_0000_0000,18'b000000000_1_0_00_1_1_0_1_1,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b010,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b11,2'b00,2'b01,1'b0,1'b0,1'b1,3'd7
D2 /7 ?,"SAR r/m8, CL",8'hD2,1'b1,1'b0,1'b0,8'h00,5'b10001,3'b000,1'b0,1'b0,37'b0_0000_0100_0000_0000_0000_0000_0000_0000_0000,18'b000000000_1_0_00_1_1_0_1_1,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b010,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b11,2'b00,2'b01,1'b0,1'b0,1'b1,3'd7
C0 /7 ib,"SAR r/m8, imm8",8'hC0,1'b1,1'b0,1'b0,8'h00,5'b10001,3'b000,1'b0,1'b0,37'b0_0000_0100_0000_0000_0000_0000_0000_0000_0000,18'b000000000_1_0_00_1_1_0_1_1,2'b00,1'b0,1'b0,1'b0,1'b1,2'b00,2'b00,3'b010,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b11,2'b00,2'b01,1'b0,1'b0,3'd0,3'd0
D1 /7 ?,"SAR r/m32, 1",8'hD1,1'b1,1'b0,1'b0,8'h00,5'b10001,3'b000,1'b0,1'b1,37'b0_0000_0100_0000_0000_0000_0000_0000_0000_0000,18'b000000000_1_0_00_1_1_0_1_1,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'b010,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b11,2'b00,2'b01,1'b0,1'b0,1'b1,3'd7
D3 /7 ?,"SAR r/m32, CL",8'hD3,1'b1,1'b0,1'b0,8'h00,5'b10001,3'b000,1'b0,1'b0,37'b0_0000_0100_0000_0000_0000_0000_0000_0000_0000,18'b000000000_1_0_00_1_1_0_1_1,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'b010,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b11,2'b00,2'b01,1'b0,1'b0,1'b1,3'd7
C1 /7 ib ?,"SAR r/m32, imm8",8'hC1,1'b1,1'b0,1'b0,8'h00,5'b10001,3'b000,1'b0,1'b0,37'b0_0000_0100_0000_0000_0000_0000_0000_0000_0000,18'b000000000_1_0_00_1_1_0_1_1,2'b00,1'b0,1'b0,1'b0,1'b1,2'b00,2'b10,3'b010,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b11,2'b00,2'b01,1'b0,1'b0,1'b1,3'd7
FD,STD,8'hFD,1'b0,1'b0,1'b0,8'h00,5'b00110,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0010_0000,18'b000000000_0_1_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,13'h0001,1'b0,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
90+ rd,"XCHG EAX, r32",8'h90,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0010_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'd0,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0002,13'h0001,13'h0001,13'h0001,13'h0002,13'h0001,13'h0001,13'h0001,1'b1,1'b1,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
90+ rd,"XCHG EAX, r32",8'h91,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0010_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'd1,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0002,13'h0001,13'h0001,13'h0001,13'h0002,13'h0001,13'h0001,13'h0001,1'b1,1'b1,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
90+ rd,"XCHG EAX, r32",8'h92,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0010_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'd2,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0002,13'h0001,13'h0001,13'h0001,13'h0002,13'h0001,13'h0001,13'h0001,1'b1,1'b1,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
90+ rd,"XCHG EAX, r32",8'h93,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0010_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'd3,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0002,13'h0001,13'h0001,13'h0001,13'h0002,13'h0001,13'h0001,13'h0001,1'b1,1'b1,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
90+ rd,"XCHG EAX, r32",8'h94,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0010_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'd4,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0002,13'h0001,13'h0001,13'h0001,13'h0002,13'h0001,13'h0001,13'h0001,1'b1,1'b1,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
90+ rd,"XCHG EAX, r32",8'h95,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0010_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'd5,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0002,13'h0001,13'h0001,13'h0001,13'h0002,13'h0001,13'h0001,13'h0001,1'b1,1'b1,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
90+ rd,"XCHG EAX, r32",8'h96,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0010_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'd6,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0002,13'h0001,13'h0001,13'h0001,13'h0002,13'h0001,13'h0001,13'h0001,1'b1,1'b1,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
90+ rd,"XCHG EAX, r32",8'h97,1'b0,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0010_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'd7,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0002,13'h0001,13'h0001,13'h0001,13'h0002,13'h0001,13'h0001,13'h0001,1'b1,1'b1,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
86  /r,"XCHG r/m8, r8",8'h86,1'b1,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0010_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b1,1'b0,1'b0,1'b1,2'b11,2'b00,2'b01,1'b0,1'b0,3'd0,3'd0
87 /r,"XCHG r/m32, r32",8'h87,1'b1,1'b0,1'b0,8'h00,5'b00011,3'b000,1'b0,1'b0,37'b0_0010_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_0_0_00_0_0_0_0_0,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b1,1'b0,1'b0,1'b1,2'b11,2'b00,2'b01,1'b0,1'b0,3'd0,3'd0
